gene,chromosome,insertions,expected,p,q
ENSMUSG00000000544,1,0.0,0.017050215500280082,1.0,1.0
ENSMUSG00000000817,1,0.0,0.0037591026299830096,1.0,1.0
ENSMUSG00000001138,1,0.0,0.005907161275687587,1.0,1.0
ENSMUSG00000001143,1,0.0,0.015170664185288575,1.0,1.0
ENSMUSG00000001305,1,0.0,0.018527005819201976,1.0,1.0
ENSMUSG00000001674,1,0.0,0.00953201024031406,1.0,1.0
ENSMUSG00000002459,1,0.0,0.12055979149016939,1.0,1.0
ENSMUSG00000002881,1,0.0,0.03839654829196931,1.0,1.0
ENSMUSG00000003051,1,0.0,0.0009397756574957524,1.0,1.0
ENSMUSG00000003134,1,0.0,0.06497877403256345,1.0,1.0
ENSMUSG00000003135,1,0.0,0.007786712590679092,1.0,1.0
ENSMUSG00000003458,1,0.0,0.009129249244244452,1.0,1.0
ENSMUSG00000003464,1,0.0,0.0055044002796179785,1.0,1.0
ENSMUSG00000003721,1,0.0,0.024836928090959172,1.0,1.0
ENSMUSG00000004031,1,0.0,0.07974667722178243,1.0,1.0
ENSMUSG00000004110,1,0.0,0.30059395673328426,1.0,1.0
ENSMUSG00000004364,1,0.0,0.10243554666703701,1.0,1.0
ENSMUSG00000004451,1,0.0,0.01597618617742779,1.0,1.0
ENSMUSG00000004552,1,0.0,0.02040655713419348,1.0,1.0
ENSMUSG00000004707,1,0.0,0.012217083547444782,1.0,1.0
ENSMUSG00000004709,1,0.0,0.013693873866366679,1.0,1.0
ENSMUSG00000004768,1,0.0,0.014633649523862431,1.0,1.0
ENSMUSG00000004872,1,0.0,0.08364003351712197,1.0,1.0
ENSMUSG00000004880,1,0.0,0.019869542472767336,1.0,1.0
ENSMUSG00000005338,1,0.0,0.017855737492419296,1.0,1.0
ENSMUSG00000005339,1,0.0,0.004967385618191834,1.0,1.0
ENSMUSG00000005501,1,0.0,0.055178256461536325,1.0,1.0
ENSMUSG00000005674,1,0.0,0.0006712683267826804,1.0,1.0
ENSMUSG00000005677,1,0.0,0.002148058645704577,1.0,1.0
ENSMUSG00000005681,1,0.0,0.0006712683267826804,1.0,1.0
ENSMUSG00000005763,1,0.0,0.04215565092195232,1.0,1.0
ENSMUSG00000005886,1,0.0,0.18365901420774133,1.0,1.0
ENSMUSG00000006005,1,0.0,0.0737052622807383,1.0,1.0
ENSMUSG00000006007,1,0.0,0.01745297649634969,1.0,1.0
ENSMUSG00000006010,1,0.0,0.0342346846659167,1.0,1.0
ENSMUSG00000006014,1,0.0,0.013693873866366679,1.0,1.0
ENSMUSG00000006299,1,0.0,0.002013804980348041,1.0,1.0
ENSMUSG00000006301,1,0.0,0.005907161275687587,1.0,1.0
ENSMUSG00000006304,1,0.0,0.026716479405950677,1.0,1.0
ENSMUSG00000006403,1,0.0,0.0028193269724872574,1.0,1.0
ENSMUSG00000006411,1,0.0,0.005235892948904907,1.0,1.0
ENSMUSG00000006412,1,0.0,0.010740293228522886,1.0,1.0
ENSMUSG00000006538,1,0.0,0.0010740293228522885,1.0,1.0
ENSMUSG00000006542,1,0.0,0.0037591026299830096,1.0,1.0
ENSMUSG00000006546,1,0.0,0.0004027609960696082,1.0,1.0
ENSMUSG00000006576,1,0.0,0.0028193269724872574,1.0,1.0
ENSMUSG00000007097,1,0.0,0.011143054224592493,1.0,1.0
ENSMUSG00000007107,1,0.0,0.023360137772037274,1.0,1.0
ENSMUSG00000007122,1,0.0,0.0029535806378437933,1.0,1.0
ENSMUSG00000007805,1,0.0,0.0,1.0,1.0
ENSMUSG00000008136,1,0.0,0.04819706586299645,1.0,1.0
ENSMUSG00000008475,1,0.0,0.008055219921392165,1.0,1.0
ENSMUSG00000009418,1,0.0,0.12968904073441384,1.0,1.0
ENSMUSG00000009633,1,0.0,0.0,1.0,1.0
ENSMUSG00000009772,1,0.0,0.0065784296024702675,1.0,1.0
ENSMUSG00000009905,1,0.0,0.02174909378775884,1.0,1.0
ENSMUSG00000009907,1,0.0,0.02698498673666375,1.0,1.0
ENSMUSG00000010175,1,14.0,0.03396617733520362,3.023278386219481e-32,2.8810163421568206e-29
ENSMUSG00000010290,1,0.0,0.011814322551375173,1.0,1.0
ENSMUSG00000010311,1,0.0,0.004027609960696082,1.0,1.0
ENSMUSG00000010453,1,0.0,0.021346332791689234,1.0,1.0
ENSMUSG00000010609,1,0.0,0.01611043984278433,1.0,1.0
ENSMUSG00000012187,1,0.0,0.015841932512071256,1.0,1.0
ENSMUSG00000013275,1,0.0,0.005907161275687587,1.0,1.0
ENSMUSG00000013593,1,0.0,0.007115444263896411,1.0,1.0
ENSMUSG00000013698,1,0.0,0.0032220879685568656,1.0,1.0
ENSMUSG00000013973,1,0.0,0.00953201024031406,1.0,1.0
ENSMUSG00000013997,1,0.0,0.004833131952835299,1.0,1.0
ENSMUSG00000014226,1,0.0,0.009666263905670597,1.0,1.0
ENSMUSG00000014602,1,0.0,0.029267299047724862,1.0,1.0
ENSMUSG00000014980,1,0.0,0.014633649523862431,1.0,1.0
ENSMUSG00000015222,1,0.0,0.2713266576855594,1.0,1.0
ENSMUSG00000015314,1,0.0,0.02242036211454152,1.0,1.0
ENSMUSG00000015316,1,0.0,0.021346332791689234,1.0,1.0
ENSMUSG00000015355,1,0.0,0.01812424482313237,1.0,1.0
ENSMUSG00000015484,1,0.0,0.04618326088264841,1.0,1.0
ENSMUSG00000015829,1,0.0,0.26891009170914176,1.0,1.0
ENSMUSG00000015843,1,0.0,0.0212120791263327,1.0,1.0
ENSMUSG00000015961,1,0.0,0.03584572865019513,1.0,1.0
ENSMUSG00000015962,1,0.0,0.014767903189218968,1.0,1.0
ENSMUSG00000016179,1,0.0,0.008592234582818308,1.0,1.0
ENSMUSG00000016181,1,0.0,0.020943571795619627,1.0,1.0
ENSMUSG00000016194,1,0.0,0.02631371840988107,1.0,1.0
ENSMUSG00000016200,1,0.0,0.13814702165187562,1.0,1.0
ENSMUSG00000016262,1,0.0,0.004833131952835299,1.0,1.0
ENSMUSG00000016481,1,0.0,0.03356341633913402,1.0,1.0
ENSMUSG00000016493,1,0.0,0.04886833418977913,1.0,1.0
ENSMUSG00000016494,1,0.0,0.015841932512071256,1.0,1.0
ENSMUSG00000016524,1,0.0,0.004564624622122226,1.0,1.0
ENSMUSG00000016526,1,0.0,0.007920966256035628,1.0,1.0
ENSMUSG00000016528,1,0.0,0.0197352888074108,1.0,1.0
ENSMUSG00000016529,1,0.0,0.0026850733071307215,1.0,1.0
ENSMUSG00000016918,1,0.0,0.11814322551375174,1.0,1.0
ENSMUSG00000018189,1,0.0,0.03866505562268239,1.0,1.0
ENSMUSG00000018196,1,0.0,0.006712683267826803,1.0,1.0
ENSMUSG00000018199,1,0.0,0.0212120791263327,1.0,1.0
ENSMUSG00000018417,1,0.0,0.12485590878157854,1.0,1.0
ENSMUSG00000019230,1,0.0,0.016244693508140864,1.0,1.0
ENSMUSG00000019699,1,0.0,0.27011837469735056,1.0,1.0
ENSMUSG00000020423,1,0.0,0.0006712683267826804,1.0,1.0
ENSMUSG00000022995,1,0.0,0.12740672842335274,1.0,1.0
ENSMUSG00000023150,1,0.0,0.022151854783828452,1.0,1.0
ENSMUSG00000025774,1,0.0,0.03369767000449055,1.0,1.0
ENSMUSG00000025776,1,0.0,0.03785953363054317,1.0,1.0
ENSMUSG00000025777,1,0.0,0.015036410519932038,1.0,1.0
ENSMUSG00000025779,1,0.0,0.015573425181358184,1.0,1.0
ENSMUSG00000025900,1,0.0,0.353624154549116,1.0,1.0
ENSMUSG00000025902,1,0.0,0.0033563416339134015,1.0,1.0
ENSMUSG00000025903,1,0.0,0.04108162159910004,1.0,1.0
ENSMUSG00000025905,1,0.0,0.011680068886018637,1.0,1.0
ENSMUSG00000025907,1,0.0,0.0751820525996602,1.0,1.0
ENSMUSG00000025909,1,0.0,0.8205584026591485,1.0,1.0
ENSMUSG00000025911,1,0.0,0.02242036211454152,1.0,1.0
ENSMUSG00000025912,1,0.0,0.04484072422908304,1.0,1.0
ENSMUSG00000025915,1,0.0,0.08941294112745302,1.0,1.0
ENSMUSG00000025916,1,0.0,0.03893356295339546,1.0,1.0
ENSMUSG00000025917,1,0.0,0.013425366535653606,1.0,1.0
ENSMUSG00000025920,1,0.0,0.24836928090959173,1.0,1.0
ENSMUSG00000025921,1,0.0,0.021346332791689234,1.0,1.0
