chromosome_F	ttaa_position	position_F	position_R	is_on_ttaa	F_reverse	R_reverse	PB5	PB3
1	10637375	10637377	10637281	True	1	0	5	0
1	13859143	13859145	13858800	True	1	0	18	0
1	16127409	16127408	16127701	True	0	1	62	0
1	39479086	39479085	39479233	True	0	1	3	0
1	39746502	39746504	39746406	True	1	0	10	0
1	41375741	41375740	41375893	True	0	1	44	0
1	43933712	43933714	43933630	True	1	0	9	0
1	57361142	57361141	57361229	True	0	1	5	0
1	57876391	57876393	57876252	True	1	0	43	0
1	61031042	61031041	61031090	True	0	1	1	0
1	62767661	62767660	62767715	True	0	1	2	0
1	72286561	72286560	NA	True	0	0	3	0
1	72286561	72286560	72287344	True	0	1	7	0
1	77439357	77439356	77439508	True	0	1	47	0
1	79798351	79798350	79798569	True	0	1	61	0
1	79798352	79798351	79798569	False	0	1	1	0
1	80632612	80632611	80632854	True	0	1	61	0
1	81908895	81908894	81909025	True	0	1	34	0
1	90963208	90963210	90963055	True	1	0	57	0
1	104629094	104629093	NA	True	0	0	1	0
1	104629094	104629093	104629447	True	0	1	27	0
1	106333732	106333734	106333611	True	1	0	1	0
1	106333732	106333734	106333596	True	1	0	1	0
1	106333732	106333734	NA	True	1	1	2	0
1	106333732	106333734	106333619	True	1	0	1	0
1	106333732	106333734	106333560	True	1	0	1	0
1	106333732	106333734	106333587	True	1	0	1	0
1	106333732	106333734	106333453	True	1	0	1	0
1	106333732	106333734	106333537	True	1	0	2	0
1	106333732	106333734	106333547	True	1	0	1	0
1	106333732	106333734	106333517	True	1	0	1	0
1	106333732	106333734	106333538	True	1	0	1	0
1	106333732	106333734	106333572	True	1	0	1	0
1	115048847	115048849	115048831	False	1	0	77	0
1	122660731	122660733	122660630	True	1	0	15	0
1	130597463	130597462	130597802	True	0	1	8	0
1	156487035	156487037	156486905	True	1	0	44	0
1	163476801	163476800	163476919	True	0	1	16	0
1	186153027	186153026	186153126	True	0	1	11	0
2	3137519	3137518	3137883	True	0	1	36	0
2	4909357	4909359	4909340	False	1	0	1	0
2	5730890	5730892	5730784	True	1	0	13	0
2	7857017	7857016	7857141	True	0	1	18	0
2	26570314	26570316	26570219	True	1	0	13	0
2	33393842	33393841	33393976	True	0	1	26	0
2	38466069	38466071	38466004	True	1	0	1	0
2	44341777	44341779	44341719	True	1	0	1	0
2	47263368	47263370	47263115	True	1	0	101	0
2	48333429	48333428	48333514	True	0	1	9	0
2	58875148	58875150	58874885	True	1	0	66	0
2	58875148	58875150	58874659	True	1	0	22	0
2	58875148	58875150	58875085	True	1	0	5	0
2	58875148	58875150	58875099	True	1	0	4	0
2	63964620	63964622	63964435	True	1	0	60	0
2	63964620	63964622	63964440	True	1	0	1	0
2	63964620	63964622	63964556	True	1	0	2	0
2	64496852	64496854	64496739	True	1	0	10	0
2	91711316	91711318	91711203	True	1	0	11	0
