chromosome_F	ttaa_position	position_F	position_R	is_on_ttaa	F_reverse	R_reverse	PB5	PB3
1	52785141	52785140	52785229	True	0	1	1	0
1	87486853	87486852	NA	True	0	0	1	0
1	91271046	91271048	91270894	True	1	0	1	0
1	179804361	179804363	179804178	True	1	0	1	0
2	23579204	23579206	23578933	False	1	0	4	0
2	60478267	60478269	60477993	False	1	0	3	0
2	98667314	98667316	98667090	False	1	0	5	0
2	109120957	109120956	109121201	True	0	1	1	0
2	164387392	164387391	164387535	False	0	1	1	0
2	173676421	173676420	173676784	True	0	1	1	0
3	3699130	3699132	3698851	False	1	0	3	0
3	48701350	48701352	48701207	True	1	0	5	0
3	60633952	60633951	60634152	True	0	1	1	0
3	127661324	127661326	127661276	False	1	0	2	0
3	139453711	139453710	139453890	True	0	1	1	0
4	5330306	5330308	5330115	False	1	0	2	0
4	101485128	101485130	101484950	False	1	0	1	0
4	101485128	101485130	101484947	False	1	0	4	0
4	103811396	103811398	NA	True	1	1	1	0
4	104202596	104202598	NA	True	1	1	1	0
4	121187850	121187849	NA	True	0	0	1	0
4	121187850	121187849	121188081	True	0	1	1	0
4	133117891	133117890	NA	True	0	0	1	0
4	145847555	145847554	17775784	False	0	1	3	0
4	151242936	151242938	151242458	True	1	0	1	0
5	6760658	6760660	6760498	True	1	0	3	0
5	7195884	7195883	7195964	True	0	1	2	0
5	8526645	8526644	8526695	True	0	1	1	0
5	14578473	14578472	14578529	False	0	1	1	0
5	16176035	16176037	16175904	True	1	0	1	0
5	20512589	20512591	20512493	True	1	0	1	0
5	21646700	21646702	21646477	True	1	0	4	0
5	43987756	43987755	43987930	True	0	1	2	0
5	44227805	44227807	44227410	True	1	0	4	0
5	45024478	45024480	45024165	True	1	0	2	0
5	51661985	51661984	51662206	False	0	1	1	0
5	53063073	53063072	53063153	False	0	1	1	0
5	56536246	56536248	56535960	True	1	0	2	0
5	56963765	56963767	56963538	True	1	0	5	0
5	57208342	57208344	57208204	True	1	0	1	0
5	57221487	57221486	57221671	True	0	1	1	0
5	57698147	57698149	57698121	True	1	0	1	0
